Subject,Start Date,Start Time,End Date,End Time,Description,Location
wyk - Podstawy audytu wewnętrznego, 28/11/2018, 15:20, 28/11/2018, 17:00, prof. UE dr hab. Pfaff Józef - PSW, 335 A
wyk - Prawo reklamy, 29/11/2018, 09:50, 29/11/2018, 11:30, dr Lubicz-Posochowska Aleksandra - PSW, Aula B
wyk - Planowanie finansowe, 29/11/2018, 11:40, 29/11/2018, 13:20, dr Kozłowska-Makóś Danuta - PSW, 418 A
Ćwi - Instrumenty opodatkowania pośredniego ludności i podmiotów gospodarczych, 29/11/2018, 13:30, 29/11/2018, 15:10, mgr Sygut Edyta - RPS, 214 B
Ćwi - Sprawozdawczość finansowa, 29/11/2018, 15:20, 29/11/2018, 17:00, dr Emerling Izabela - RPS, 227 A
sem - Seminarium dyplomowe dr Izabela Emerling, 29/11/2018, 17:10, 29/11/2018, 18:50, dr Emerling Izabela - SD, Katedra -
wyk - Instrumenty opodatkowania pośredniego ludności i podmiotów gospodarczych, 30/11/2018, 08:00, 30/11/2018, 09:40, dr Jarczok-Guzy Magdalena - RPS, Aula A
wyk - Instrumenty opodatkowania bezpośredniego ludności i podmiotów gospodarczych, 30/11/2018, 09:50, 30/11/2018, 11:30, dr Ciupek Bożena - RPS, Aula A
Ćwi - Instrumenty opodatkowania bezpośredniego ludności i podmiotów gospodarczych, 30/11/2018, 11:40, 30/11/2018, 13:20, mgr Świętek Łukasz - RPS, 213 B
Ćwi - Analiza finansowa, 30/11/2018, 15:20, 30/11/2018, 17:00, dr Emerling Izabela - RPS, 411 A
sem - Seminarium dyplomowe dr Anna Doś, 03/12/2018, 08:00, 03/12/2018, 09:40, dr Doś Anna - SD, Katedra -
inne - Projekt: "Blisko-Międzynarodowo-Przez całe życie", 04/12/2018, 08:00, 04/12/2018, 18:50, prof. dr hab. Buk Halina, n/z
wyk - Sprawozdawczość finansowa, 05/12/2018, 08:00, 05/12/2018, 09:40, prof. dr hab. Buk Halina - RPS, Aula A
wyk - Analiza finansowa, 05/12/2018, 09:50, 05/12/2018, 11:30, prof. dr hab. Buk Halina - RPS, 233 F
wyk - Rachunkowość jednostek handlowych, 05/12/2018, 13:30, 05/12/2018, 15:10, dr Poniatowska Lucyna - PSW, 412 A
sem - Seminarium dyplomowe dr Łukasz Szewczyk, 05/12/2018, 15:20, 05/12/2018, 17:00, dr Szewczyk Łukasz - SD, Katedra -
sem - Seminarium dyplomowe dr Bożena Ciupek, 05/12/2018, 15:20, 05/12/2018, 17:00, dr Ciupek Bożena - SD, Katedra -
sem - Seminarium dyplomowe dr Aleksandra Lubicz-Posochowska, 05/12/2018, 15:20, 05/12/2018, 17:00, dr Lubicz-Posochowska Aleksandra - SD, Katedra -
sem - Seminarium dyplomowe dr Danuta Kozłowska-Makóś, 06/12/2018, 09:50, 06/12/2018, 11:30, dr Kozłowska-Makóś Danuta - SD, 5 L
Ćwi - Instrumenty opodatkowania pośredniego ludności i podmiotów gospodarczych, 06/12/2018, 13:30, 06/12/2018, 15:10, mgr Sygut Edyta - RPS, 214 B
Ćwi - Sprawozdawczość finansowa, 06/12/2018, 15:20, 06/12/2018, 17:00, dr Emerling Izabela - RPS, 227 A
sem - Seminarium dyplomowe dr Jolanta Gałuszka, 06/12/2018, 17:10, 06/12/2018, 18:50, dr Gałuszka Jolanta - SD, Katedra -
sem - Seminarium dyplomowe dr Magdalena Jarczok-Guzy, 06/12/2018, 17:10, 06/12/2018, 18:50, dr Jarczok-Guzy Magdalena - SD, Katedra -
wyk - Instrumenty opodatkowania pośredniego ludności i podmiotów gospodarczych, 07/12/2018, 08:00, 07/12/2018, 09:40, dr Jarczok-Guzy Magdalena - RPS, Aula A
wyk - Instrumenty opodatkowania bezpośredniego ludności i podmiotów gospodarczych, 07/12/2018, 09:50, 07/12/2018, 11:30, dr Ciupek Bożena - RPS, Aula A
Ćwi - Instrumenty opodatkowania bezpośredniego ludności i podmiotów gospodarczych, 07/12/2018, 11:40, 07/12/2018, 13:20, mgr Świętek Łukasz - RPS, 213 B
wyk - Prawo instrumentów finansowych, 10/12/2018, 15:20, 10/12/2018, 17:00, prof. UE dr hab. Witosz Aleksander - PSW, 228 A
inne - Projekt: "Blisko-Międzynarodowo-Przez całe życie", 11/12/2018, 08:00, 11/12/2018, 18:50, prof. dr hab. Buk Halina, n/z
wyk - Sprawozdawczość finansowa, 12/12/2018, 08:00, 12/12/2018, 09:40, prof. dr hab. Buk Halina - RPS, Aula A
wyk - Analiza finansowa, 12/12/2018, 09:50, 12/12/2018, 11:30, prof. dr hab. Buk Halina - RPS, 233 F
wyk - Finanse międzynarodowe, 12/12/2018, 11:40, 12/12/2018, 13:20, prof. dr hab. Harasim Janina - RPS, Aula A
wyk - Dodatkowe ubezpieczenia emerytalne, 12/12/2018, 13:30, 12/12/2018, 15:10, prof. UE dr hab. Koczur Wiesław - PSW, 412 A
wyk - Podstawy audytu wewnętrznego, 12/12/2018, 15:20, 12/12/2018, 17:00, prof. UE dr hab. Pfaff Józef - PSW, 335 A
wyk - Sprawozdawczość finansowa, 12/12/2018, 17:10, 12/12/2018, 18:50, prof. dr hab. Buk Halina - RPS, Aula A
wyk - Prawo reklamy, 13/12/2018, 09:50, 13/12/2018, 11:30, dr Lubicz-Posochowska Aleksandra - PSW, Aula B
wyk - Planowanie finansowe, 13/12/2018, 11:40, 13/12/2018, 13:20, dr Kozłowska-Makóś Danuta - PSW, 418 A
Ćwi - Instrumenty opodatkowania pośredniego ludności i podmiotów gospodarczych, 13/12/2018, 13:30, 13/12/2018, 15:10, mgr Sygut Edyta - RPS, 214 B
Ćwi - Sprawozdawczość finansowa, 13/12/2018, 15:20, 13/12/2018, 17:00, dr Emerling Izabela - RPS, 227 A
sem - Seminarium dyplomowe dr Izabela Emerling, 13/12/2018, 17:10, 13/12/2018, 18:50, dr Emerling Izabela - SD, Katedra -
wyk - Instrumenty opodatkowania pośredniego ludności i podmiotów gospodarczych, 14/12/2018, 08:00, 14/12/2018, 09:40, dr Jarczok-Guzy Magdalena - RPS, Aula A
wyk - Instrumenty opodatkowania bezpośredniego ludności i podmiotów gospodarczych, 14/12/2018, 09:50, 14/12/2018, 11:30, dr Ciupek Bożena - RPS, Aula A
Ćwi - Instrumenty opodatkowania bezpośredniego ludności i podmiotów gospodarczych, 14/12/2018, 11:40, 14/12/2018, 13:20, mgr Świętek Łukasz - RPS, 213 B
Ćwi - Analiza finansowa, 14/12/2018, 15:20, 14/12/2018, 17:00, dr Emerling Izabela - RPS, 411 A
sem - Seminarium dyplomowe dr Anna Doś, 17/12/2018, 08:00, 17/12/2018, 09:40, dr Doś Anna - SD, Katedra -
inne - Projekt: "Blisko-Międzynarodowo-Przez całe życie", 18/12/2018, 08:00, 18/12/2018, 18:50, prof. dr hab. Buk Halina, n/z
wyk - Sprawozdawczość finansowa, 19/12/2018, 08:00, 19/12/2018, 09:40, prof. dr hab. Buk Halina - RPS, Aula A
wyk - Analiza finansowa, 19/12/2018, 09:50, 19/12/2018, 11:30, prof. dr hab. Buk Halina - RPS, Aula @
wyk - Finanse międzynarodowe, 19/12/2018, 11:40, 19/12/2018, 13:, prof. dr hab. Harasim Janina - RPS, Aula A
wyk - Finanse międzynarodowe, 19/12/2018, 20, 19/12/2018, undefined, prof. dr hab. Harasim Janina - RPS, Aula A
wyk - Rachunkowość jednostek handlowych, 19/12/2018, 13:30, 19/12/2018, 15:10, dr Poniatowska Lucyna - PSW, 412 A
sem - Seminarium dyplomowe dr Aleksandra Lubicz-Posochowska, 19/12/2018, 15:20, 19/12/2018, 17:00, dr Lubicz-Posochowska Aleksandra - SD, Katedra -
sem - Seminarium dyplomowe dr Łukasz Szewczyk, 19/12/2018, 15:20, 19/12/2018, 17:00, dr Szewczyk Łukasz - SD, Katedra -
Ćwi - Instrumenty opodatkowania pośredniego ludności i podmiotów gospodarczych, 20/12/2018, 13:30, 20/12/2018, 15:10, mgr Sygut Edyta - RPS, 214 B
Ćwi - Sprawozdawczość finansowa, 20/12/2018, 15:20, 20/12/2018, 17:00, dr Emerling Izabela - RPS, 227 A
sem - Seminarium dyplomowe dr Jolanta Gałuszka, 20/12/2018, 17:10, 20/12/2018, 18:50, dr Gałuszka Jolanta - SD, Katedra -
sem - Seminarium dyplomowe dr Magdalena Jarczok-Guzy, 20/12/2018, 17:10, 20/12/2018, 18:50, dr Jarczok-Guzy Magdalena - SD, Katedra -
wyk - Instrumenty opodatkowania pośredniego ludności i podmiotów gospodarczych, 21/12/2018, 08:00, 21/12/2018, 09:40, dr Jarczok-Guzy Magdalena - RPS, Aula A
wyk - Instrumenty opodatkowania bezpośredniego ludności i podmiotów gospodarczych, 21/12/2018, 09:50, 21/12/2018, 11:30, dr Ciupek Bożena - RPS, Aula A
Ćwi - Instrumenty opodatkowania bezpośredniego ludności i podmiotów gospodarczych, 21/12/2018, 11:40, 21/12/2018, 13:20, mgr Świętek Łukasz - RPS, 213 B
wyk - Prawo instrumentów finansowych, 07/01/2019, 15:20, 07/01/2019, 17:00, prof. UE dr hab. Witosz Aleksander - PSW, 228 A
inne - Projekt: "Blisko-Międzynarodowo-Przez całe życie", 08/01/2019, 08:00, 08/01/2019, 18:50, prof. dr hab. Buk Halina, n/z
wyk - Sprawozdawczość finansowa, 09/01/2019, 08:00, 09/01/2019, 09:40, prof. dr hab. Buk Halina - RPS, Aula A
wyk - Analiza finansowa, 09/01/2019, 09:50, 09/01/2019, 11:30, prof. dr hab. Buk Halina - RPS, Aula @
wyk - Finanse międzynarodowe, 09/01/2019, 11:40, 09/01/2019, 13:20, prof. dr hab. Harasim Janina - RPS, Aula A
wyk - Dodatkowe ubezpieczenia emerytalne, 09/01/2019, 13:30, 09/01/2019, 15:10, prof. UE dr hab. Koczur Wiesław - PSW, 412 A
wyk - Podstawy audytu wewnętrznego, 09/01/2019, 15:20, 09/01/2019, 17:00, prof. UE dr hab. Pfaff Józef - PSW, 335 A
wyk - Prawo reklamy, 10/01/2019, 09:50, 10/01/2019, 11:30, dr Lubicz-Posochowska Aleksandra - PSW, Aula B
wyk - Planowanie finansowe, 10/01/2019, 11:40, 10/01/2019, 13:20, dr Kozłowska-Makóś Danuta - PSW, 418 A
Ćwi - Instrumenty opodatkowania pośredniego ludności i podmiotów gospodarczych, 10/01/2019, 13:30, 10/01/2019, 15:10, mgr Sygut Edyta - RPS, 214 B
Ćwi - Sprawozdawczość finansowa, 10/01/2019, 15:20, 10/01/2019, 17:00, dr Emerling Izabela - RPS, 227 A
sem - Seminarium dyplomowe dr Izabela Emerling, 10/01/2019, 17:10, 10/01/2019, 18:50, dr Emerling Izabela - SD, Katedra -
wyk - Instrumenty opodatkowania pośredniego ludności i podmiotów gospodarczych, 11/01/2019, 08:00, 11/01/2019, 09:40, dr Jarczok-Guzy Magdalena - RPS, Aula B
wyk - Instrumenty opodatkowania bezpośredniego ludności i podmiotów gospodarczych, 11/01/2019, 09:50, 11/01/2019, 11:30, dr Ciupek Bożena - RPS, Aula B
Ćwi - Instrumenty opodatkowania, 11/01/2019, 11:40, 11/01/2019, 13:, mgr Świętek Łukasz - RPS, 213 B
Ćwi - bezpośredniego ludności i podmiotów gospodarczych, 11/01/2019, 20, 11/01/2019, undefined, mgr Świętek Łukasz - RPS, 213 B
Ćwi - Analiza finansowa, 11/01/2019, 15:20, 11/01/2019, 17:00, dr Emerling Izabela - RPS, 332 A
sem - Seminarium dyplomowe dr Anna Doś, 14/01/2019, 08:00, 14/01/2019, 09:40, dr Doś Anna - SD, Katedra -
inne - Projekt: "Blisko-Międzynarodowo-Przez całe życie", 15/01/2019, 08:00, 15/01/2019, 18:50, prof. dr hab. Buk Halina, n/z
wyk - Sprawozdawczość finansowa, 16/01/2019, 08:00, 16/01/2019, 09:40, prof. dr hab. Buk Halina - RPS, Aula A
wyk - Analiza finansowa, 16/01/2019, 09:50, 16/01/2019, 11:30, prof. dr hab. Buk Halina - RPS, Aula @
wyk - Finanse międzynarodowe, 16/01/2019, 11:40, 16/01/2019, 13:20, prof. dr hab. Harasim Janina - RPS, Aula A
wyk - Rachunkowość jednostek handlowych, 16/01/2019, 13:30, 16/01/2019, 15:10, dr Poniatowska Lucyna - PSW, 412 A
sem - Seminarium dyplomowe dr Aleksandra Lubicz-Posochowska, 16/01/2019, 15:20, 16/01/2019, 17:00, dr Lubicz-Posochowska Aleksandra - SD, Katedra -
sem - Seminarium dyplomowe dr Bożena Ciupek, 16/01/2019, 15:20, 16/01/2019, 17:00, dr Ciupek Bożena - SD, Katedra -
sem - Seminarium dyplomowe dr Łukasz Szewczyk, 16/01/2019, 15:20, 16/01/2019, 17:00, dr Szewczyk Łukasz - SD, Katedra -
sem - Seminarium dyplomowe dr Danuta Kozłowska-Makóś, 17/01/2019, 08:00, 17/01/2019, 11:30, dr Kozłowska-Makóś Danuta - SD, 5 L
Ćwi - Instrumenty opodatkowania pośredniego ludności i podmiotów gospodarczych, 17/01/2019, 13:30, 17/01/2019, 15:10, mgr Sygut Edyta - RPS, 214 B
Ćwi - Sprawozdawczość finansowa, 17/01/2019, 15:20, 17/01/2019, 17:00, dr Emerling Izabela - RPS, 227 A
sem - Seminarium dyplomowe dr Jolanta Gałuszka, 17/01/2019, 17:10, 17/01/2019, 18:50, dr Gałuszka Jolanta - SD, Katedra -
sem - Seminarium dyplomowe dr Magdalena Jarczok-Guzy, 17/01/2019, 17:10, 17/01/2019, 18:50, dr Jarczok-Guzy Magdalena - SD, Katedra -
wyk - Instrumenty opodatkowania pośredniego ludności i podmiotów gospodarczych, 18/01/2019, 08:00, 18/01/2019, 09:40, dr Jarczok-Guzy Magdalena - RPS, Aula A
wyk - Instrumenty opodatkowania bezpośredniego ludności i podmiotów gospodarczych, 18/01/2019, 09:50, 18/01/2019, 11:30, dr Ciupek Bożena - RPS, Aula A
Ćwi - Instrumenty opodatkowania bezpośredniego ludności i podmiotów gospodarczych, 18/01/2019, 11:40, 18/01/2019, 13:20, mgr Świętek Łukasz - RPS, 213 B
sem - Seminarium dyplomowe dr Anna Doś, 21/01/2019, 08:55, 21/01/2019, 09:40, dr Doś Anna - SD, Katedra -
wyk - Prawo instrumentów finansowych, 21/01/2019, 15:20, 21/01/2019, 16:05, prof. UE dr hab. Witosz Aleksander - PSW, 228 A
inne - Projekt: "Blisko-Międzynarodowo-Przez całe życie", 22/01/2019, 08:00, 22/01/2019, 18:50, prof. dr hab. Buk Halina, n/z
wyk - Sprawozdawczość finansowa, 23/01/2019, 08:00, 23/01/2019, 09:40, prof. dr hab. Buk Halina - RPS, Aula A
wyk - Analiza finansowa, 23/01/2019, 09:50, 23/01/2019, 11:30, prof. dr hab. Buk Halina - RPS, Aula @
wyk - Finanse międzynarodowe, 23/01/2019, 11:40, 23/01/2019, 13:20, prof. dr hab. Harasim Janina - RPS, Aula A
wyk - Dodatkowe ubezpieczenia emerytalne, 23/01/2019, 13:30, 23/01/2019, 14:15, prof. UE dr hab. Koczur Wiesław - PSW, 412 A
wyk - Rachunkowość jednostek handlowych, 23/01/2019, 14:25, 23/01/2019, 15:10, dr Poniatowska Lucyna - PSW, 412 A
wyk - Podstawy audytu wewnętrznego, 23/01/2019, 15:20, 23/01/2019, 16:05, prof. UE dr hab. Pfaff Józef - PSW, 335 A
sem - Seminarium dyplomowe dr Bożena Ciupek, 23/01/2019, 16:15, 23/01/2019, 17:00, dr Ciupek Bożena - SD, Katedra -
sem - Seminarium dyplomowe dr Aleksandra Lubicz-Posochowska, 23/01/2019, 16:15, 23/01/2019, 17:00, dr Lubicz-Posochowska Aleksandra - SD, Katedra -
sem - Seminarium dyplomowe dr Łukasz Szewczyk, 23/01/2019, 16:15, 23/01/2019, 17:00, dr Szewczyk Łukasz - SD, Katedra -
wyk - Prawo reklamy, 24/01/2019, 09:50, 24/01/2019, 11:30, dr Lubicz-Posochowska Aleksandra - PSW, Aula B
wyk - Planowanie finansowe, 24/01/2019, 11:40, 24/01/2019, 13:20, dr Kozłowska-Makóś Danuta - PSW, 418 A
Ćwi - Instrumenty opodatkowania pośredniego ludności i podmiotów gospodarczych, 24/01/2019, 13:30, 24/01/2019, 15:10, mgr Sygut Edyta - RPS, 214 B
Ćwi - Sprawozdawczość finansowa, 24/01/2019, 15:20, 24/01/2019, 17:00, dr Emerling Izabela - RPS, 227 A
sem - Seminarium dyplomowe dr Jolanta Gałuszka, 24/01/2019, 17:10, 24/01/2019, 17:55, dr Gałuszka Jolanta - SD, Katedra -
sem - Seminarium dyplomowe dr Magdalena Jarczok-Guzy, 24/01/2019, 17:10, 24/01/2019, 17:55, dr Jarczok-Guzy Magdalena - SD, Katedra -
sem - Seminarium dyplomowe dr Izabela Emerling, 24/01/2019, 17:10, 24/01/2019, 18:50, dr Emerling Izabela - SD, Katedra -
sem - Seminarium dyplomowe dr Danuta Kozłowska-Makóś, 24/01/2019, 18:05, 24/01/2019, 18:50, dr Kozłowska-Makóś Danuta - SD, 5 L
wyk - Instrumenty opodatkowania pośredniego ludności i podmiotów gospodarczych, 25/01/2019, 08:00, 25/01/2019, 09:40, dr Jarczok-Guzy Magdalena - RPS, Aula A
wyk - Instrumenty opodatkowania bezpośredniego ludności i podmiotów gospodarczych, 25/01/2019, 09:50, 25/01/2019, 11:30, dr Ciupek Bożena - RPS, Aula A
Ćwi - Instrumenty opodatkowania bezpośredniego ludności i podmiotów gospodarczych, 25/01/2019, 11:40, 25/01/2019, 13:20, mgr Świętek Łukasz - RPS, 213 B
Ćwi - Analiza finansowa, 25/01/2019, 15:20, 25/01/2019, 17:00, dr Emerling Izabela - RPS, 411 A
wyk - Prawo reklamy, 28/01/2019, 09:50, 28/01/2019, 10:35, dr Lubicz-Posochowska Aleksandra - PSW, Aula B
sem - Seminarium dyplomowe dr Izabela Emerling, 28/01/2019, 10:45, 28/01/2019, 11:30, dr Emerling Izabela - SD, Katedra -
wyk - Planowanie finansowe, 28/01/2019, 11:40, 28/01/2019, 12:25, dr Kozłowska-Makóś Danuta - PSW, 418 A
Ćwi - Instrumenty opodatkowania pośredniego ludności i podmiotów gospodarczych, 28/01/2019, 13:30, 28/01/2019, 15:10, mgr Sygut Edyta - RPS, 214 B
Ćwi - Sprawozdawczość finansowa, 28/01/2019, 15:20, 28/01/2019, 17:00, dr Emerling Izabela - RPS, 227 A
sem - Seminarium dyplomowe dr Izabela Emerling, 28/01/2019, 17:10, 28/01/2019, 18:50, dr Emerling Izabela - SD, Katedra -
wyk - Instrumenty opodatkowania pośredniego ludności i podmiotów gospodarczych, 29/01/2019, 08:00, 29/01/2019, 09:40, dr Jarczok-Guzy Magdalena - RPS, Aula A
wyk - Instrumenty opodatkowania bezpośredniego ludności i podmiotów gospodarczych, 29/01/2019, 09:50, 29/01/2019, 11:30, dr Ciupek Bożena - RPS, Aula A
Ćwi - Instrumenty opodatkowania bezpośredniego ludności i podmiotów gospodarczych, 29/01/2019, 11:40, 29/01/2019, 13:20, mgr Świętek Łukasz - RPS, 213 B
Ćwi - Analiza finansowa, 29/01/2019, 15:20, 29/01/2019, 16:05, dr Emerling Izabela - RPS, 411 A
